code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason
000651.SZ,格力电器,家用电器,1,1,100.0,0.58,0.58,近1天资金净流入1天，累计净流入0.58亿元
002142.SZ,宁波银行,银行,1,1,100.0,0.72,0.72,近1天资金净流入1天，累计净流入0.72亿元
300760.SZ,迈瑞医疗,医疗保健,1,1,100.0,1.22,1.22,近1天资金净流入1天，累计净流入1.22亿元
601816.SH,京沪高铁,铁路,1,1,100.0,0.09,0.09,近1天资金净流入1天，累计净流入0.09亿元
002311.SZ,海大集团,饲料,1,1,100.0,0.78,0.78,近1天资金净流入1天，累计净流入0.78亿元
603119.SH,浙江荣泰,汽车配件,1,1,100.0,0.61,0.61,近1天资金净流入1天，累计净流入0.61亿元
300567.SZ,精测电子,电器仪表,1,1,100.0,0.02,0.02,近1天资金净流入1天，累计净流入0.02亿元
002558.SZ,巨人网络,互联网,1,1,100.0,0.15,0.15,近1天资金净流入1天，累计净流入0.15亿元
603816.SH,顾家家居,家居用品,1,1,100.0,0.12,0.12,近1天资金净流入1天，累计净流入0.12亿元
600745.SH,闻泰科技,半导体,1,1,100.0,0.38,0.38,近1天资金净流入1天，累计净流入0.38亿元
688678.SH,福立旺,元器件,1,1,100.0,0.42,0.42,近1天资金净流入1天，累计净流入0.42亿元
002353.SZ,杰瑞股份,化工机械,1,1,100.0,0.03,0.03,近1天资金净流入1天，累计净流入0.03亿元
000425.SZ,徐工机械,工程机械,1,1,100.0,0.56,0.56,近1天资金净流入1天，累计净流入0.56亿元
000096.SZ,广聚能源,石油贸易,1,1,100.0,0.38,0.38,近1天资金净流入1天，累计净流入0.38亿元
600480.SH,凌云股份,汽车配件,1,1,100.0,0.29,0.29,近1天资金净流入1天，累计净流入0.29亿元
605088.SH,冠盛股份,汽车配件,1,1,100.0,0.48,0.48,近1天资金净流入1天，累计净流入0.48亿元
603565.SH,中谷物流,水运,1,1,100.0,0.1,0.1,近1天资金净流入1天，累计净流入0.1亿元
002937.SZ,兴瑞科技,元器件,1,1,100.0,0.57,0.57,近1天资金净流入1天，累计净流入0.57亿元
601898.SH,中煤能源,煤炭开采,1,1,100.0,0.01,0.01,近1天资金净流入1天，累计净流入0.01亿元
600358.SH,ST联合,广告包装,1,1,100.0,0.06,0.06,近1天资金净流入1天，累计净流入0.06亿元
688019.SH,安集科技,半导体,1,1,100.0,0.36,0.36,近1天资金净流入1天，累计净流入0.36亿元
603707.SH,健友股份,生物制药,1,1,100.0,0.15,0.15,近1天资金净流入1天，累计净流入0.15亿元
688052.SH,纳芯微,半导体,1,1,100.0,0.24,0.24,近1天资金净流入1天，累计净流入0.24亿元
002988.SZ,豪美新材,铝,1,1,100.0,0.01,0.01,近1天资金净流入1天，累计净流入0.01亿元
601006.SH,大秦铁路,铁路,1,1,100.0,0.07,0.07,近1天资金净流入1天，累计净流入0.07亿元
301031.SZ,中熔电气,电气设备,1,1,100.0,0.05,0.05,近1天资金净流入1天，累计净流入0.05亿元
603733.SH,仙鹤股份,造纸,1,1,100.0,0.05,0.05,近1天资金净流入1天，累计净流入0.05亿元
003043.SZ,华亚智能,半导体,1,1,100.0,0.03,0.03,近1天资金净流入1天，累计净流入0.03亿元
601567.SH,三星医疗,电气设备,1,1,100.0,0.15,0.15,近1天资金净流入1天，累计净流入0.15亿元
301216.SZ,万凯新材,化工原料,1,1,100.0,0.0,0.0,近1天资金净流入1天，累计净流入0.0亿元
603268.SH,*ST松发,家居用品,1,1,100.0,0.05,0.05,近1天资金净流入1天，累计净流入0.05亿元
605333.SH,沪光股份,汽车配件,1,1,100.0,0.12,0.12,近1天资金净流入1天，累计净流入0.12亿元
688087.SH,英科再生,环境保护,1,1,100.0,0.03,0.03,近1天资金净流入1天，累计净流入0.03亿元
603885.SH,吉祥航空,空运,1,1,100.0,0.17,0.17,近1天资金净流入1天，累计净流入0.17亿元
603826.SH,坤彩科技,染料涂料,1,1,100.0,0.0,0.0,近1天资金净流入1天，累计净流入0.0亿元
688627.SH,精智达,专用机械,1,1,100.0,0.06,0.06,近1天资金净流入1天，累计净流入0.06亿元
600939.SH,重庆建工,建筑工程,1,1,100.0,0.43,0.43,近1天资金净流入1天，累计净流入0.43亿元
600674.SH,川投能源,水力发电,1,1,100.0,0.01,0.01,近1天资金净流入1天，累计净流入0.01亿元
301061.SZ,匠心家居,家居用品,1,1,100.0,0.06,0.06,近1天资金净流入1天，累计净流入0.06亿元
002203.SZ,海亮股份,铜,1,1,100.0,0.18,0.18,近1天资金净流入1天，累计净流入0.18亿元
002901.SZ,大博医疗,医疗保健,1,1,100.0,0.35,0.35,近1天资金净流入1天，累计净流入0.35亿元
300533.SZ,冰川网络,互联网,1,1,100.0,0.22,0.22,近1天资金净流入1天，累计净流入0.22亿元
688225.SH,亚信安全,软件服务,1,1,100.0,0.04,0.04,近1天资金净流入1天，累计净流入0.04亿元
600433.SH,冠豪高新,造纸,1,1,100.0,0.03,0.03,近1天资金净流入1天，累计净流入0.03亿元
605081.SH,*ST太和,环境保护,1,1,100.0,0.02,0.02,近1天资金净流入1天，累计净流入0.02亿元
603137.SH,恒尚节能,装修装饰,1,1,100.0,0.01,0.01,近1天资金净流入1天，累计净流入0.01亿元
301068.SZ,大地海洋,环境保护,1,1,100.0,0.02,0.02,近1天资金净流入1天，累计净流入0.02亿元
688059.SH,华锐精密,机械基件,1,1,100.0,0.02,0.02,近1天资金净流入1天，累计净流入0.02亿元
603429.SH,集友股份,广告包装,1,1,100.0,0.05,0.05,近1天资金净流入1天，累计净流入0.05亿元
603018.SH,华设集团,建筑工程,1,1,100.0,0.03,0.03,近1天资金净流入1天，累计净流入0.03亿元
688689.SH,银河微电,半导体,1,1,100.0,0.03,0.03,近1天资金净流入1天，累计净流入0.03亿元
002589.SZ,瑞康医药,医药商业,1,1,100.0,0.08,0.08,近1天资金净流入1天，累计净流入0.08亿元
601992.SH,金隅集团,水泥,1,1,100.0,0.06,0.06,近1天资金净流入1天，累计净流入0.06亿元
600269.SH,赣粤高速,路桥,1,1,100.0,0.09,0.09,近1天资金净流入1天，累计净流入0.09亿元
603055.SH,台华新材,纺织,1,1,100.0,0.01,0.01,近1天资金净流入1天，累计净流入0.01亿元
688509.SH,正元地信,软件服务,1,1,100.0,0.02,0.02,近1天资金净流入1天，累计净流入0.02亿元
688375.SH,国博电子,元器件,1,1,100.0,0.01,0.01,近1天资金净流入1天，累计净流入0.01亿元
